@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
84,'2022/02/21 13:16:21:053',1,235.423019,297.578552,405,1
85,'2022/02/21 13:16:21:153',1,232.819672,294.409576,400.622009,1
86,'2022/02/21 13:16:21:252',1,237.118118,298.543121,407.682465,1
87,'2022/02/21 13:16:21:345',1,233.188766,298.263306,405.475037,1
88,'2022/02/21 13:16:21:445',1,229.856476,298.939789,402.100739,1
89,'2022/02/21 13:16:21:544',1,229.688919,299.786591,403.401794,1
90,'2022/02/21 13:16:21:643',1,231.225006,302.001648,404.400787,1
91,'2022/02/21 13:16:21:742',1,242.596375,299.786591,409.542419,1
92,'2022/02/21 13:16:21:841',1,233.188766,291.370911,391.400055,1
93,'2022/02/21 13:16:21:940',1,198.927124,244.724335,307.092834,1
94,'2022/02/21 13:16:22:038',1,165.193832,182.945343,173.539627,1
95,'2022/02/21 13:16:22:138',1,148.475586,151.168777,40.261642,1
96,'2022/02/21 13:16:22:242',1,176.377441,176.819122,19.235384,1
97,'2022/02/21 13:16:22:337',1,153.375351,203.666397,150.850922,1
98,'2022/02/21 13:16:22:436',1,163.816971,287.085358,257.328583,1
99,'2022/02/21 13:16:22:535',1,178,312.705933,318.058167,1
100,'2022/02/21 13:16:22:633',1,187.80043,318.449371,344.216492,1
101,'2022/02/21 13:16:22:733',1,192.761505,319.081482,355.373047,1
102,'2022/02/21 13:16:22:830',1,198.600098,324.54892,367.143036,1
103,'2022/02/21 13:16:22:929',1,199.123077,313.955414,353.409119,1
104,'2022/02/21 13:16:23:029',1,192.87561,313.918793,337.866852,1
105,'2022/02/21 13:16:23:128',1,194.617569,313.81842,337.499634,1
106,'2022/02/21 13:16:23:227',1,195.897934,311.416107,334.88504,1
107,'2022/02/21 13:16:23:328',1,193.847885,313.312958,336.122009,1
108,'2022/02/21 13:16:23:425',1,190.03157,305.655029,326.730774,1
109,'2022/02/21 13:16:23:524',1,192.002609,305.407928,327.330109,1
110,'2022/02/21 13:16:23:624',1,192.379837,304.401062,332.039154,1
111,'2022/02/21 13:16:23:722',1,191.63768,298.872894,325.72995,1
112,'2022/02/21 13:16:23:822',1,185.310547,293.715851,310.517303,1
113,'2022/02/21 13:16:23:960',1,181.069046,285.27179,308.029205,1
114,'2022/02/21 13:16:24:054',1,185.981186,294.869476,327.330109,1
115,'2022/02/21 13:16:24:153',1,181.727814,292.063354,327.685822,1
116,'2022/02/21 13:16:24:254',1,183.853195,292.207123,327.391205,1
117,'2022/02/21 13:16:24:352',1,185.261978,289.006927,321.616241,1
118,'2022/02/21 13:16:24:451',1,171.353439,218.240692,184.328506,1
